ts,event_id,event_type,action,value,extra
1759599036.361273,65c7701d32c48e9d60cfa2ad1242ab35b3c32de9ba333a0ed36d14ce8eefdedf,observation,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 47.95429192017764, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 42.782860211688295}"
1759599036.403571,74771a066c86527be79031409181cb9888999253f66fbd4bb3fa875b7fa3e8bd,order,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 42.19904192723334, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 37.093491244921864}"
1759599036.4469671,3686a542f0b6fa946c233bf70cb884a15e6c53ca2d5e70b5daf30ce4ddc3e403,command,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 43.3325000340119, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 38.26451120794295}"
1759599036.473403,e5c43791abdae155a5493954c8f8974ca7a97f8d2a729d6606b9765a9ea95c9c,outcome,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 26.393083040602505, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 23.0926520534324}"
1759599036.513397,65924c4740499266a8176eafcbca3874d6eafdba48ac0397693e283cfb9a1c9f,command,submit,ERR_PARENT_REQUIRED,"{""info"": ""command"", ""expected_valid"": false, ""latency_ms"": 39.94691697880626, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 34.898850763709014}"
1759599036.5401468,3ece56324d0aa4346d92dd3db5c599657739d73f5c85e38d6d139bb9fb5768f1,command,submit,ERR_UNAUTHORIZED,"{""info"": ""actor_not_allowed"", ""expected_valid"": false, ""latency_ms"": 26.676833047531545, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 21.405496372764127}"
1759599036.55671,ff8b1f04625c707bb165ccc6b46770e5ef3bee425b9f264a9c16ec7f88f258e5,command,submit,ERR_MISSING_PARENT,"{""info"": ""NON_EXISTENT_PARENT"", ""expected_valid"": false, ""latency_ms"": 16.163624939508736, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 12.686274796496336}"
1759599036.592947,8b5c037a06a097955c639e5b08c695c616b68a10571ccc50b59d420ef9d4199d,command,submit,ERR_BAD_PARENT_TYPE,"{""info"": ""observation -> command"", ""expected_valid"": false, ""latency_ms"": 35.8311670133844, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924, ""simulated_delay_ms"": 32.761748590419266}"
1759599036.593465,9cfdb49c53fa953ca2e10ab6bf26ba60a87146e1ba0d22bd5047ef818ba7948e,command,submit,ERR_UNAUTHORIZED,"{""info"": ""bad_signature"", ""expected_valid"": false, ""latency_ms"": null, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036312-d92df1"", ""run_started"": 1759599036.312924}"
1759599036.609605,15fd537adca682baefc5d3bd3582dbe7f83154a4bfe57ce1cbddfe358acfda3e,observation,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 14.261625008657575, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 13.477577354933342}"
1759599036.630975,7cf7c6563b8ce788201a8959c2dbe262992116209dad88e6072248375619630b,order,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 20.935125066898763, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 16.91323244336427}"
1759599036.677033,41fbac5313ba28d4904c10e124ce5fedcff559ddfb24f2199b59346adac9b6ca,command,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 45.68933299742639, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 41.10102836025185}"
1759599036.7263181,5ef8c535c422bc5cf6e3be813fac64e03cc7943621a4253f9eb7c2092ae7e2f4,outcome,submit,OK,"{""info"": null, ""expected_valid"": true, ""latency_ms"": 48.90091600827873, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 43.61685199801062}"
1759599036.77217,5b11b9f6bd5a52abbcd990a4cf72431e2583187829739714a9e9c5842943535a,command,submit,ERR_PARENT_REQUIRED,"{""info"": ""command"", ""expected_valid"": false, ""latency_ms"": 45.22450000513345, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 40.09292440535045}"
1759599036.809483,18e43ef4109ceb405a71503cedf931fb0b52e0c36fd509b5dfdf1968ae97f251,command,submit,ERR_UNAUTHORIZED,"{""info"": ""actor_not_allowed"", ""expected_valid"": false, ""latency_ms"": 36.954957991838455, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 32.10638013840255}"
1759599036.843431,49eed672ef7facdb7ddc34744964d3537b494bf47740e40f5b6b8302c15c0bf2,command,submit,ERR_MISSING_PARENT,"{""info"": ""NON_EXISTENT_PARENT"", ""expected_valid"": false, ""latency_ms"": 33.557457965798676, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 30.530977684066997}"
1759599036.864736,d8592234abaf2bb0e63c3cdb773cfbe2499ece6d6ecb40684e1bdc641105929a,command,submit,ERR_BAD_PARENT_TYPE,"{""info"": ""observation -> command"", ""expected_valid"": false, ""latency_ms"": 21.01725002285093, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289, ""simulated_delay_ms"": 16.54928659719525}"
1759599036.8652182,f33efce315020cce79889722e513f919481be77466931af67ae3342ff9413dd1,command,submit,ERR_UNAUTHORIZED,"{""info"": ""bad_signature"", ""expected_valid"": false, ""latency_ms"": null, ""subject_id"": ""S123"", ""run_id"": ""run-1759599036595-6ff903"", ""run_started"": 1759599036.5950289}"
